Cat�logo de Livros da Ateli� Editoral 

Lista gerada em 24/07/2022 - 20:57:04


Titulo;Isbn;Autor;Assunto;Valor;
50 Tons da Vida;97-885-7480-817-8;Roberto Livianu;Literatura brasileira, Crônicas;R$ 39,90;
A Um - Poemas;85-85851-40-6;Robert Creeley;Poesia, Literatura estrangeira, Bilíngue, Ilustrado, Tradução;R$ 49,00;
A Voz e o Tempo - 3a ed.;978-65-5580-016-6;Roberto Gambini;Ilustrado, Psicanálise e Psicologia;R$ 72,00;
A.S.A. - Associação dos Solitários Anônimos;85-7480-132-1;Rosario Fusco;Literatura brasileira, Romance;R$ 64,00;
Acústica Musical em Palavras e Sons, A;978-85-7480-649-5;Flo Menezes;Ilustrado, Música;R$ 91,00;
Adeus Penderama e Outros Escritos;978-85-7480-377-7;José Paulo Cavalcanti Filho;Memória, Literatura brasileira;R$ 42,00;
Adoniran Barbosa - O Poeta da Cidade;85-7480-114-3;Francisco Rocha;Música, Memória, Ilustrado;R$ 53,00;
Adorável Criatura Frankenstein;85-7480-215-8;Ademir Assunção;Literatura brasileira, Romance;R$ 52,00;
Afeto Autoritário, O - Televisão, Ética e Democracia;85-7480-230-1;Renato Janine Ribeiro;Televisão, Comunicação, Sociologia e Sociedade, Cultura;R$ 42,00;
Afinador de Passarinhos, O;978-85-7480-550-4;Gil Perini;Literatura brasileira, Contos;R$ 46,00;
Aldo Manuzio. Editor. Tipógrafo. Livreiro (2a ed.);978-65-5580-003-6;Enric Satué;Ilustrado, Design, Tipografia, Artes gráficas, Tradução, História, Editoração, Livros sobre livros;R$ 75,00;
Alguma Crítica;85-7480-068-6;João Alexandre Barbosa;Crítica literária, Literatura;R$ 66,00;
Almanaque Tipográfico Brasileiro;978-85-7480-418-7;Carlos M. Horcades;Design, Tipografia, Almanaque, Artes gráficas, Ilustrado;R$ 67,00;
Alongamento;85-7480-264-6;Sérgio Medeiros;Literatura brasileira, Poesia;R$ 62,00;
Altar & o Trono, O - Dinâmica do Poder em O Alienista;978-85-7480-511-5;Ivan Teixeira;Literatura brasileira, Crítica literária;R$ 106,00;
Amaro Macedo - O Solitário do Cerrado;978-85-7480-430-9;Gil Felippe, Maria do Carmo Duarte Macedo;Memória, Biografia, Botânica, Ilustrado;R$ 47,00;
Amor, Luta e Luto - No Tempo da Ditadura;978-65-5580-037-1;Maria do Socorro Diógenes;Ilustrado, História, Política;R$ 40,00;
Ancora Medicinal para Conservar a Vida com Saúde;85-7480-195-X;Francisco da Fonseca Henriquez;Gastronomia, Culinária, Medicina e Saúde;R$ 102,00;
Andaimes;978-85-7480-316-6;Milton Torres;Literatura brasileira, Poesia;R$ 64,00;
Anfiteatro, O - Textos sobre Medicina;85-7480-066-X;Pedro Nava;Memória, Medicina e Saúde, Ilustrado;R$ 44,00;
Angola e Moçambique - 2a ed.;978-65-5580-068-5;Rita Chaves;Literatura africana, Estudos Literários;R$ 65,00;
Angu de Sangue - 3a. ed.;978-85-7480-835-2;Marcelino Freire;Ilustrado, Literatura brasileira, Contos;R$ 52,00;
Anima Mundi;85-7480-263-8;Ricardo Pires de Souza;Literatura brasileira, Poesia;R$ 79,00;
Animal de Silêncios;85-7480-123-2;Jaime Labastida;Tradução, Poesia, Literatura estrangeira, Bilíngue;R$ 48,00;
Anos de Exílio do Jovem Mallarmé, Os;978-85-7480-366-1;Joaquim Brasil Fontes;Crítica literária, Literatura estrangeira;R$ 52,00;
Antologia Poética;85-7480-067-8;Jorge Wanderley;Literatura brasileira, Poesia;R$ 62,00;
Antologia Poética - 1987-2017;978-85-7480-781-2;Marcelo Sandmann;Poesia;R$ 39,90;
Ao Vires Isto - Gertrude Stein;978-8574-8081-16;Luci Collin, Daniella Aguiar, João Queiroz;Crítica literária, Literatura, Teoria literária;R$ 44,90;
Apoteose de Schoenberg;85-7480-109-7;Flo Menezes;Música, Crítica musical;R$ 83,00;
Arabia Brasilica;978-85-7480-751-5;Alberto Sismondini;Crítica literária, Teoria literária, Cultura islâmica, Cultura árabe;R$ 52,00;
Arca de Noésio, A;85-85851-18-X;Gustavo Martins;Literatura brasileira, Infantil, Ilustrado;R$ 23,00;
Arquétipos Literários, Os - 3a ed.;978-85-7480-837-6;Eleazar M. Meletínski;Crítica literária, Teoria literária, Tradução;R$ 54,00;
Arte da Automutilação, A;978-85-7480-642-6;Felipe Lion;Literatura brasileira, Poesia;R$ 51,00;
Arte de Argumentar, A (14a. ed.);978-65-5580-034-0;Antônio Suárez Abreu;Comunicação, Argumentação, Escrita, Linguística;R$ 49,00;
Arte do Zajal, A - Estudo de Poética Árabe;978-85-7480-381-4;Michel Sleiman;Crítica literária, Poesia, Cultura árabe;R$ 60,00;
Arte Invisível ou a Arte do Livro, A;85-7480-177-1;Plinio Martins Filho;Design, Tipografia, Livros sobre livros, Artes gráficas, Ilustrado;R$ 48,00;
Arte, Dor - Inquietudes entre Estética e Psicanálise;978-85-7480-248-0;João A. Frayze-Pereira;Arte, Psicanálise e Psicologia, Ilustrado;R$ 108,00;
Artigas e Cascaldi - Arquitetura em Londrina;85-7480-156-9;Juliana Suzuki;Arquitetura, Ilustrado;R$ 81,00;
As Traquínias;978-65-5580-064-7;Sofocles, Jaa Torrano;Bilíngue, Tradução, Teatro, Literatura clássica, Cultura grega;R$ 76,00;
Atando as Pontas da Vida;978-65-5580-021-0;Ariovaldo José Vidal;Crítica literária, Literatura, Teoria literária;R$ 51,00;
Até a Margem do Grande Rio;978-85-7480-575-7;Edu Campos;Literatura brasileira, Contos, Fotografia, Ilustrado;R$ 42,00;
Ateneu, O;978-85-7480-756-0;Emília Amaral, Raul Pompeia;Literatura brasileira, Romance, Ilustrado;R$ 46,00;
Auto da Barca do Inferno;978-85-7480-590-0;Gil Vicente, Ivan Teixeira;Cultura medieval, Idade média, Literatura portuguesa, Literatura medieval, Teatro, Ilustrado;R$ 31,00;
Ájax;978-65-5580-063-0;Sofocles, Jaa Torrano;Bilíngue, Tradução, Teatro, Literatura clássica, Cultura grega;R$ 79,00;
Égloga da Maçã;978-85-7480-577-1;Affonso Ávila;Literatura brasileira, Poesia, Ilustrado;R$ 54,00;
Ícaro;978-85-7480-334-0;Gabriel Pedrosa;Literatura brasileira, Poesia, Ilustrado;R$ 36,00;
Índia - Além do Olhar;978-85-7480-739-3;Marleine Paula Marcondes e Ferreira de Toledo;Memória, Religião;R$ 35,00;
Índios na Constituição, Os;978-85-7480-827-7;Camila Loureiro Dias, Artionka Capiberibe;Ilustrado, Sociologia e Sociedade, História, Política, Ecologia, Jornalismo, Cidadania, Direito;R$ 38,00;
Baú de Receitas;978-65-5580-053-1;Pedro Nava, Luciano Gomes Filippo;Memória, Ilustrado, Gastronomia, Culinária;R$ 95,00;
Bailadora Andaluza, A - A Explosão do Sagrado na Poesia de João Cabral;85-85851-20-1;Waldecy Tenório;Literatura brasileira, Crítica literária;R$ 52,00;
Balão Cativo;85-7480-006-6;Pedro Nava;Memória, Literatura brasileira;R$ 72,00;
BaléRalé;85-7480-174-7;Marcelino Freire;Literatura brasileira, Contos;R$ 48,00;
Baldio - poemas (2009-2017);978-85-7480-791-1;Rodrigo Madeira;Poesia;R$ 44,90;
Banda das Velhas Virgens, A - 18 Anos de Bar em Bar;85-7480-304-9;Alexandre Cavalo, Ricardo dos Santos Gozzi;Música, Memória, Biografia, Ilustrado;R$ 39,80;
Batalha dos Livros, A;978-85-7480-773-7;Lincoln Secco;História, Política, Livros sobre livros;R$ 56,00;
Bíblia, Literatura e Recepção;978-65-5580-045-6;João Leonel;Literatura, Religião;R$ 70,00;
Beauty & Fashion;85-7480-161-5;Mário Cafiero;Arte, Ilustração e pintura, Humor;R$ 76,00;
Beira-Mar;85-7480-147-X;Pedro Nava;Memória, Literatura brasileira;R$ 78,00;
Bibliodiversidade e Preço do Livro;978-65-5580-051-7;Gustavo Piqueira, Marisa Midori Deaecto;Ilustrado, Livros sobre livros, Economia;R$ 59,90;
Bibliomania;978-85-7480-722-5;Lincoln Secco, Marisa Midori Deaecto;Livros sobre livros, Bibliofilia;R$ 63,00;
Biblioteca Imaginária, A;85-85851-13-9;João Alexandre Barbosa;Crítica literária, Literatura;R$ 52,00;
Bicho Urucutum, O;85-85851-56-2;Pedro Nava;Memória, Literatura brasileira, Ilustrado;R$ 52,00;
Bilhete Seco;978-85-7480-563-4;Elisa Nazarian;Literatura brasileira, Contos;R$ 51,00;
Bom Crioulo;978-85-7480-684-6;Salete de Almeida Cara, Kaio Romero, Adolfo Caminha;Literatura brasileira, Romance, Ilustrado;R$ 40,00;
Bovarismo e Romance - Madame Bovary e Lady Oracle;85-7480-032-5;Andrea Saad Hossne;Crítica literária, Literatura estrangeira;R$ 60,00;
Branco sobre Branco;978-85-7480-429-3;Guilherme Zarvos;Cultura, Ilustrado;R$ 66,00;
